Asset,MSE,RMSE,MAE,R2,DirectionalAcc
Short Treasuries (SHY),0.00010905319504672661,0.01044285377886364,0.00713789789006114,-2.7330880165100098,0.5449640287769785
Long Treasuries (TLT),0.005228710826486349,0.07230982524170798,0.05596417188644409,-1.1814618110656738,0.5179856115107914
Gold (GLD),0.005406608805060387,0.07352964575639126,0.05883568152785301,-2.1627368927001953,0.44964028776978415
Equity (SPY),0.008235744200646877,0.09075100109997067,0.0658731535077095,-1.0011789798736572,0.585431654676259
Oil (DBO),0.01610288955271244,0.12689716132645537,0.10209544748067856,-0.23844671249389648,0.5539568345323741
