Asset,MSE,RMSE,MAE,R2,DirectionalAcc
Short Treasuries (SHY),2.9221464501461014e-05,0.005405688161692368,0.0036495341919362545,-0.00030350685119628906,0.5899280575539568
Gold (GLD),0.0017770311096683145,0.04215484681111194,0.03311808034777641,-0.0395207405090332,0.45863309352517984
Long Treasuries (TLT),0.0024468405172228813,0.04946554879128383,0.038233138620853424,-0.020842313766479492,0.4739208633093525
Equity (SPY),0.004131084308028221,0.06427351171383294,0.04430306330323219,-0.003799915313720703,0.6798561151079137
Oil (DBO),0.013394506648182869,0.1157346389296777,0.09203090518712997,-0.030149459838867188,0.41097122302158273
