asset,adf_stat,p_value,used_lags,nobs,crit_1%,crit_5%,crit_10%
Equity (SPY),-12.302598729591853,7.392273340490784e-23,26,3219,-3.4323830917455003,-2.8624382973530444,-2.5672481834828367
Long Treasuries (TLT),-10.309771569243955,3.2080623073453112e-18,24,3221,-3.4323818283394387,-2.862437739322552,-2.5672478863984516
Short Treasuries (SHY),-10.740523538642396,2.825869913976995e-19,19,3226,-3.432378676683321,-2.8624363472748406,-2.5672471452999863
Gold (GLD),-57.39826899511159,0.0,0,3245,-3.4323667890369283,-2.862431096634527,-2.5672443499659305
Oil (DBO),-59.99947220005416,0.0,0,3245,-3.4323667890369283,-2.862431096634527,-2.5672443499659305
