Asset,MSE,RMSE,MAE,R2,DirectionalAcc
Short Treasuries (SHY),1.1644720871117897e-05,0.0034124362076261437,0.0026725963689386845,-1.5207552909851074,0.5356924954240391
Equity (SPY),0.0008153369999490678,0.028554106533895746,0.021485859528183937,0.4423816204071045,0.7943868212324589
Long Treasuries (TLT),0.0009002673905342817,0.030004456177945997,0.023843981325626373,0.48251545429229736,0.7352043929225137
Gold (GLD),0.0012857738183811307,0.0358576884137995,0.028044436126947403,0.5304446220397949,0.7712019524100061
Oil (DBO),0.0017597703263163567,0.04194961652168416,0.032486237585544586,0.7898732423782349,0.801098230628432
