Ticker,ann_mean,ann_vol,sharpe_like_(rf=0)
Equity (SPY),0.11726073417237767,0.17646107629871438,0.6645133115581704
Long Treasuries (TLT),0.03691626060872406,0.15036166820654406,0.24551643413542137
Short Treasuries (SHY),0.006715817254211526,0.010904579541490139,0.6158712702914351
Gold (GLD),0.030710487905751,0.15725543246088533,0.1952904737544741
Oil (DBO),-0.045428187784149816,0.3059799837578599,-0.14846784167457122
