Asset,MSE,RMSE,MAE,R2,DirectionalAcc
Short Treasuries (SHY),2.9705377528443933e-05,0.005450263987041722,0.003688419470563531,-0.0168687105178833,0.41007194244604317
Gold (GLD),0.001771890907548368,0.042093834555055304,0.033090658485889435,-0.0365138053894043,0.45863309352517984
Long Treasuries (TLT),0.0023985591251403093,0.04897508678032444,0.03757474571466446,-0.0006989240646362305,0.5260791366906474
Equity (SPY),0.004203652497380972,0.0648355804892728,0.047947924584150314,-0.021432995796203613,0.32014388489208634
Oil (DBO),0.013030135072767735,0.11414961705046467,0.08871595561504364,-0.0021262168884277344,0.41097122302158273
