Ticker,2022-12-30
Oil (DBO),13.407388687133789
Short Treasuries (SHY),72.6861343383789
Long Treasuries (TLT),88.14545440673828
Gold (GLD),169.63999938964844
Equity (SPY),367.6167297363281
