Asset,Model_RMSE,Base0_RMSE,Mean_RMSE,Model_R2,Base0_R2,Mean_R2
Short Treasuries (SHY),0.007067333097603906,0.005450263987041722,0.005405688161692368,-0.7097828388214111,-0.0168687105178833,-0.00030350685119628906
Long Treasuries (TLT),0.05193172333108298,0.04897508678032444,0.04946554879128383,-0.12517082691192627,-0.0006989240646362305,-0.020842313766479492
Gold (GLD),0.052116125433085386,0.042093834555055304,0.04215484681111194,-0.5888481140136719,-0.0365138053894043,-0.0395207405090332
Equity (SPY),0.06616652217098724,0.0648355804892728,0.06427351171383294,-0.06379938125610352,-0.021432995796203613,-0.003799915313720703
Oil (DBO),0.1463936079464223,0.11414961705046467,0.1157346389296777,-0.648229718208313,-0.0021262168884277344,-0.030149459838867188
