Date,Equity (SPY),Long Treasuries (TLT),Short Treasuries (SHY),Gold (GLD),Oil (DBO)
2010-01-04,85.02799224853516,56.54686737060547,66.38796997070312,109.80000305175781,23.807811737060547
2010-01-05,85.2530288696289,56.912044525146484,66.4678955078125,109.69999694824219,24.028175354003906
2010-01-06,85.31307220458984,56.15022659301758,66.47589111328125,111.51000213623047,24.324819564819336
2010-01-07,85.6731948852539,56.24465560913086,66.45991516113281,110.81999969482422,24.15530776977539
2010-01-08,85.95830535888672,56.2194938659668,66.52383422851562,111.37000274658203,24.27396583557129
2010-01-11,86.07830810546875,55.91098403930664,66.5558090209961,112.8499984741211,24.138357162475586
2010-01-12,85.27552032470703,56.8680305480957,66.61170959472656,110.48999786376953,23.587446212768555
2010-01-13,85.9958267211914,56.20685958862305,66.5558090209961,111.54000091552734,23.350130081176758
2010-01-14,86.22840881347656,56.99394989013672,66.61971282958984,112.02999877929688,23.324705123901367
2010-01-15,85.26050567626953,57.34647750854492,66.67566680908203,110.86000061035156,22.98568344116211
2010-01-19,86.32593536376953,57.18281173706055,66.69166564941406,111.5199966430664,23.189096450805664
2010-01-20,85.4481201171875,57.76209259033203,66.69166564941406,108.94000244140625,22.67208480834961
2010-01-21,83.80502319335938,58.02650833129883,66.7475814819336,107.37000274658203,22.23983383178711
2010-01-22,81.93683624267578,57.92573165893555,66.80355072021484,107.16999816894531,21.65502166748047
2010-01-25,82.35700225830078,57.661285400390625,66.7475814819336,107.4800033569336,21.968618392944336
2010-01-26,82.01187133789062,57.68022155761719,66.75564575195312,107.55999755859375,21.773679733276367
2010-01-27,82.40202331542969,57.648704528808594,66.73167419433594,106.52999877929688,21.53636360168457
2010-01-28,81.45664978027344,57.61726379394531,66.7635498046875,106.4800033569336,21.544837951660156
2010-01-29,80.57138061523438,58.12093734741211,66.82748413085938,105.95999908447266,21.307525634765625
2010-02-01,81.82429504394531,57.593360900878906,66.7987289428711,108.3499984741211,21.892337799072266
2010-02-02,82.81466674804688,57.75767517089844,66.8067855834961,109.12999725341797,22.578857421875
2010-02-03,82.40202331542969,57.08788299560547,66.7587661743164,108.69999694824219,22.46019744873047
2010-02-04,79.85859680175781,57.991424560546875,66.85476684570312,104.37000274658203,21.2820987701416
2010-02-05,80.02362823486328,58.1178092956543,66.95869445800781,104.68000030517578,20.934598922729492
2010-02-08,79.44596099853516,58.193607330322266,66.9107666015625,104.04000091552734,20.900699615478516
2010-02-09,80.44380187988281,57.61232376098633,66.84675598144531,105.41000366210938,21.519412994384766
2010-02-10,80.28622436523438,57.06258773803711,66.77471923828125,105.12000274658203,21.64654541015625
2010-02-11,81.12654113769531,56.753028869628906,66.7987289428711,107.12999725341797,21.858436584472656
2010-02-12,81.0590591430664,56.986785888671875,66.85476684570312,107.04000091552734,21.595691680908203
2010-02-16,82.33450317382812,57.09418869018555,66.86275482177734,109.62000274658203,22.3839168548584
2010-02-17,82.72464752197266,56.44336700439453,66.8067855834961,109.25,22.477149963378906
2010-02-18,83.2123031616211,56.21589660644531,66.76668548583984,109.9800033569336,22.85854721069336
2010-02-19,83.3848648071289,56.51921844482422,66.74273681640625,109.47000122070312,23.045011520385742
2010-02-22,83.3998794555664,56.28541946411133,66.76668548583984,109.06999969482422,23.053485870361328
2010-02-23,82.38700103759766,57.163734436035156,66.8227767944336,107.88999938964844,22.697513580322266
2010-02-24,83.14473724365234,57.30270004272461,66.85476684570312,107.36000061035156,23.01958465576172
2010-02-25,83.0322265625,57.62498092651367,66.9107666015625,108.30999755859375,22.51105308532715
2010-02-26,83.08476257324219,57.921913146972656,66.93473815917969,109.43000030517578,22.883975982666016
2010-03-01,83.94756317138672,57.896583557128906,66.92276000976562,109.43000030517578,22.663610458374023
2010-03-02,84.18013763427734,57.820491790771484,66.92276000976562,111.0199966430664,22.90092658996582
2010-03-03,84.25518798828125,57.674720764160156,66.91471099853516,111.62999725341797,23.239946365356445
2010-03-04,84.51024627685547,57.97896957397461,66.89067840576172,110.83000183105469,23.15519142150879
2010-03-05,85.71817779541016,57.21831130981445,66.83462524414062,110.80999755859375,23.519641876220703
2010-03-08,85.73322296142578,56.9204216003418,66.80260467529297,109.87999725341797,23.545068740844727
2010-03-09,85.87574005126953,56.933128356933594,66.85063934326172,109.72000122070312,23.384031295776367
2010-03-10,86.25838470458984,56.787288665771484,66.83462524414062,108.47000122070312,23.52811622619629
2010-03-11,86.6185073852539,56.99646759033203,66.75448608398438,108.5999984741211,23.61287498474121
2010-03-12,86.62602996826172,57.3514289855957,66.76251220703125,107.94999694824219,23.33317756652832
2010-03-15,86.64852142333984,57.27538299560547,66.78665924072266,108.36000061035156,22.960256576538086
2010-03-16,87.33880615234375,57.731712341308594,66.80260467529297,110.4000015258789,23.426410675048828
2010-03-17,87.85647583007812,57.97896957397461,66.81861114501953,109.58999633789062,23.731531143188477
2010-03-18,87.81144714355469,57.78879928588867,66.778564453125,110.33999633789062,23.562021255493164
2010-03-19,87.3669662475586,57.84589385986328,66.73057556152344,108.27999877929688,23.180622100830078
2010-03-22,87.83401489257812,57.90925598144531,66.75448608398438,107.75,23.341655731201172
2010-03-23,88.45182037353516,57.63667297363281,66.73057556152344,108.31999969482422,23.417936325073242
2010-03-24,88.02237701416016,56.58448028564453,66.6264419555664,106.30000305175781,23.01958465576172
